TRACKER,DATE,TIME,GS Lat,GS Lon,GS Alt asl,TRACKER Lat,TRACKER Lon,TRACKER Alt asl,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI Down,RSSI Up,Horizontal range (ft),Alt AGL (ft),Total range (ft),LoRa Max Range (kft),LoRa Success Rate,BATT,GS_batt_v,Down Sent,Down Rcvd,Found Sent,Up Sent,Up Rccvd,Found rocket ID,Found rocket lat,Found rocket lon,Found rocket altitude,Found rocket fix,Found rocket batt_v,Found RSSI,GS_ASL_offset
T102Boot,2024-06-22,11:26:31.785,32.94708,-106.92075,4556.1,32.95235,-106.922,4561.1,1,1.0,1.0,221.0,0x03,15,5,8,2,-95,-96,2011.93,14.996,2011.936,184.857,60%,3.753,4.203,3024,210,638,273,271,akron_sus,32.95274,-106.92203,4566.3,3,3.717,-100,1.0
T102Boot,2024-06-22,11:26:32.834,32.94718,-106.92065,4557.1,32.95245,-106.9219,4562.1,2,1.1,1.1,221.0,0x03,18,8,12,3,-94,-98,2016.94,15.95,2016.948,185.858,62%,3.763,4.21,3608,233,665,206,292,akron_sus,32.95284,-106.92193,4567.3,2,3.727,-97,1.1
T102Boot,2024-06-22,11:26:33.794,32.94728,-106.92055,4558.1,32.95255,-106.9218,4563.1,1,1.2,1.2,131.0,0x03,20,9,11,3,-94,-93,2021.96,16.966,2021.966,167.844,64%,3.773,4.222,3667,222,697,206,284,akron_sus,32.95294,-106.92183,4568.3,1,3.737,-90,1.2
T102Boot,2024-06-22,11:26:35.053,32.94739,-106.92044,4564.1,32.95265,-106.9217,4564.2,2,1.3,1.3,135.0,0x03,20,6,12,3,-92,-100,2025.78,13.079,2025.777,168.75,66%,3.754,4.23,3609,232,624,300,289,akronboo,32.95291,-106.92183,4566.8,1,3.707,-98,1.3
T102Boot,2024-06-22,11:26:35.865,32.94749,-106.92034,4565.1,32.95275,-106.9216,4565.2,2,1.4,1.4,277.0,0x03,18,10,8,5,-96,-98,2030.78,14.085,2030.784,152.813,66%,3.764,4.24,3309,282,606,224,253,akronboo,32.95301,-106.92173,4567.8,2,3.717,-93,1.4
T102Boot,2024-06-22,11:26:36.824,32.94759,-106.92024,4566.1,32.95285,-106.9215,4566.2,3,1.5,1.5,257.0,0x03,15,10,8,2,-100,-97,2035.78,15.083,2035.784,170.751,68%,3.797,4.249,3499,233,644,266,200,akronboo,32.95311,-106.92163,4568.8,1,3.727,-91,1.5
T102Boot,2024-06-22,11:26:37.815,32.94769,-106.92014,4567.1,32.95295,-106.9214,4567.1,1,1.6,1.6,149.0,0x03,16,9,12,2,-100,-100,2040.78,16.046,2040.784,171.751,70%,3.807,4.262,3797,273,681,243,299,akronboo,32.95321,-106.92153,4569.8,2,3.737,-91,1.6
T102Boot,2024-06-22,11:26:38.805,32.94779,-106.92004,4568.1,32.95305,-106.9213,4568.1,1,1.7,1.7,319.0,0x03,24,8,8,4,-91,-94,2045.79,17.066,2045.79,172.751,72%,3.819,4.27,3765,289,678,240,200,akronboo,32.95331,-106.92143,4570.8,3,3.747,-92,1.7
T102Boot,2024-06-22,11:26:55.786,32.94789,-106.91994,4569.1,32.95315,-106.9212,4568.0,2,1.8,1.8,208.0,0x03,22,10,10,2,-95,-98,2050.69,16.872,2050.687,73.26,29%,3.83,4.282,3261,272,674,275,277,akronboo,32.95341,-106.92134,4569.2,3,3.757,-100,1.8
T102Boot,2024-06-22,11:26:56.806,32.94799,-106.91984,4570.1,32.95325,-106.9211,4568.9,1,1.9,1.9,227.0,0x03,25,7,7,3,-94,-97,2055.7,17.816,2055.699,43.684,30%,3.84,4.293,3989,215,686,231,256,akronboo,32.95351,-106.92124,4570.2,1,3.767,-97,1.9
T102Boot,2024-06-22,11:26:57.794,32.94809,-106.91974,4571.1,32.95335,-106.921,4569.7,3,2.0,2.0,106.0,0x03,24,8,11,5,-94,-99,2060.72,18.625,2060.717,98.058,31%,3.846,4.302,3103,299,682,202,218,akronboo,32.95361,-106.92114,4571.2,3,3.777,-93,2.0
T102Boot,2024-06-22,11:26:58.786,32.94819,-106.91964,4572.1,32.95345,-106.9209,4570.6,2,2.1,2.1,80.0,0x03,18,6,9,3,-98,-93,2065.7,19.488,2065.705,144.712,32%,3.856,4.312,3985,282,603,298,237,akronboo,32.95371,-106.92104,4572.2,1,3.787,-96,2.1
T102Boot,2024-06-22,11:26:59.805,32.94829,-106.91955,4573.9,32.95355,-106.9208,4571.4,3,2.2,2.2,357.0,0x03,25,8,8,5,-95,-91,2067.3,19.505,2067.302,132.067,33%,3.874,4.323,3794,234,697,274,286,akronboo,32.95381,-106.92094,4573.2,3,3.797,-90,2.2
T102Boot,2024-06-22,11:27:00.795,32.94839,-106.91945,4574.9,32.95365,-106.9207,4572.3,3,2.3,2.3,342.0,0x03,15,7,7,2,-98,-90,2072.32,20.357,2072.326,146.499,34%,3.884,4.333,3477,205,671,281,287,akronboo,32.95391,-106.92084,4574.2,3,3.807,-100,2.3
T102Boot,2024-06-22,11:27:01.814,32.94849,-106.91935,4575.9,32.95375,-106.9206,4573.2,3,2.4,2.4,274.0,0x03,18,9,7,2,-92,-99,2077.33,21.25,2077.332,147.499,35%,3.889,4.343,3167,271,636,201,278,akronboo,32.95401,-106.92074,4575.2,1,3.817,-98,2.4
T102Boot,2024-06-22,11:27:03.885,32.94859,-106.91925,4576.9,32.95385,-106.9205,4573.9,3,2.5,2.5,307.0,0x03,19,5,9,2,-93,-93,2082.35,22.01,2082.351,163.57,31%,3.9,4.352,3042,203,698,294,266,akronboo,32.95411,-106.92064,4576.2,1,3.827,-96,2.5
T102Boot,2024-06-22,11:27:05.863,32.94869,-106.91915,4577.9,32.95395,-106.9204,4574.7,2,2.6,2.6,252.0,0x03,20,8,11,4,-98,-98,2087.38,22.773,2087.381,136.071,29%,3.91,4.363,3628,221,681,215,274,akronboo,32.95421,-106.92054,4577.2,1,3.837,-90,2.6
T102Boot,2024-06-22,11:27:06.825,32.94879,-106.91905,4578.9,32.95405,-106.9203,4575.7,1,2.7,2.7,108.0,0x03,24,10,9,3,-96,-95,2092.38,23.777,2092.381,104.925,32%,3.92,4.373,3488,230,650,271,266,akronboo,32.95431,-106.92044,4578.2,1,3.847,-97,2.7
T102Boot,2024-06-22,11:27:08.805,32.94889,-106.91895,4579.9,32.95415,-106.9202,4577.0,2,2.8,2.8,9.0,0x03,15,7,8,4,-91,-98,2097.31,25.085,2097.315,138.068,32%,3.93,4.382,3251,300,612,291,256,akronboo,32.95441,-106.92034,4579.2,2,3.857,-100,2.8
T102Boot,2024-06-22,11:27:09.914,32.94899,-106.91885,4580.9,32.95425,-106.9201,4578.2,3,2.9,2.9,100.0,0x03,22,8,9,2,-100,-94,2102.28,26.285,2102.284,127.096,35%,3.937,4.393,3097,231,682,255,292,akronboo,32.95451,-106.92024,4580.2,2,3.867,-95,2.9
T102Boot,2024-06-22,11:27:10.906,32.94909,-106.91875,4581.9,32.95435,-106.92,4579.3,2,3.0,3.0,313.0,0x03,17,8,8,2,-96,-96,2107.27,27.325,2107.272,117.428,38%,3.947,4.401,3039,209,685,223,233,akronboo,32.95461,-106.92014,4581.2,3,3.877,-98,3.0
T102Boot,2024-06-22,11:27:12.794,32.94919,-106.91865,4582.9,32.95445,-106.9199,4580.5,2,3.1,3.1,347.0,0x03,18,5,11,5,-91,-90,2112.23,28.574,2112.23,118.426,38%,3.957,4.414,3777,243,618,291,283,akronboo,32.95471,-106.92004,4582.2,1,3.887,-100,3.1
T102Boot,2024-06-22,11:27:13.786,32.94929,-106.91855,4583.9,32.95455,-106.9198,4581.7,3,3.2,3.2,91.0,0x03,16,10,11,3,-100,-100,2117.2,29.731,2117.206,130.093,41%,3.967,4.423,3071,258,645,254,290,akronboo,32.95481,-106.91994,4583.2,1,3.897,-99,3.2
T102Boot,2024-06-22,11:27:15.794,32.94939,-106.91845,4584.9,32.95465,-106.9197,4582.6,3,3.3,3.3,213.0,0x03,20,6,9,3,-100,-93,2122.2,30.708,2122.2,143.061,41%,3.981,4.432,3735,270,678,261,243,akronboo,32.95491,-106.91983,4584.5,1,3.907,-99,3.3
T102Boot,2024-06-22,11:27:16.786,32.94949,-106.91835,4585.9,32.95475,-106.9196,4583.6,1,3.4,3.4,95.0,0x03,24,6,11,4,-90,-90,2127.19,31.643,2127.194,132.092,44%,3.988,4.442,3529,294,610,294,278,akronboo,32.95501,-106.91973,4585.5,3,3.917,-93,3.4
T102Boot,2024-06-22,11:27:17.866,32.94959,-106.91825,4586.9,32.95485,-106.9195,4584.5,1,3.5,3.5,115.0,0x03,15,10,8,5,-93,-96,2132.18,32.61,2132.182,112.917,46%,3.998,4.453,3462,261,666,267,224,akronboo,32.95511,-106.91963,4586.5,1,3.927,-96,3.5
T102Boot,2024-06-22,11:27:18.794,32.94969,-106.91815,4587.9,32.95495,-106.9194,4585.5,2,3.6,3.6,313.0,0x03,17,5,9,5,-93,-96,2137.16,33.577,2137.164,123.423,49%,4.005,4.462,3762,237,667,213,294,akronboo,32.95521,-106.91953,4587.5,3,3.937,-99,3.6
T102Boot,2024-06-22,11:27:19.785,32.94979,-106.91805,4588.9,32.95505,-106.9193,4586.5,3,3.7,3.7,26.0,0x03,24,5,9,4,-91,-92,2142.14,34.574,2142.146,124.422,52%,4.015,4.473,3774,211,665,279,249,akronboo,32.95531,-106.91943,4588.5,3,3.947,-91,3.7
T102Boot,2024-06-22,11:27:20.806,32.94988,-106.91794,4589.4,32.95515,-106.9192,4587.5,3,3.8,3.8,165.0,0x03,25,9,8,2,-91,-96,2151.66,36.105,2151.662,116.095,54%,4.025,4.481,3908,212,611,209,211,akronboo,32.95541,-106.91933,4589.5,1,3.957,-98,3.8
T102Boot,2024-06-22,11:27:21.794,32.94998,-106.91784,4590.4,32.95525,-106.9191,4588.5,2,3.9,3.9,335.0,0x03,25,10,12,3,-91,-90,2156.65,37.135,2156.65,137.315,54%,4.005,4.492,3690,229,637,200,275,akronboo,32.95551,-106.91923,4590.5,3,3.967,-93,3.9
T102Boot,2024-06-22,11:27:22.783,32.95008,-106.91774,4591.4,32.95535,-106.919,4589.7,1,4.0,4.0,165.0,0x03,24,8,10,4,-92,-96,2161.63,38.247,2161.632,150.311,54%,4.015,4.502,3101,270,612,267,230,akronboo,32.95561,-106.91913,4591.5,2,3.977,-90,4.0
T102Boot,2024-06-22,11:27:23.806,32.95018,-106.91764,4592.4,32.95545,-106.9189,4590.7,2,4.1,4.1,242.0,0x03,16,10,8,4,-93,-93,2166.62,39.25,2166.626,139.314,54%,4.06,4.513,3745,286,633,224,245,akronboo,32.95571,-106.91903,4592.5,2,3.987,-99,4.1
T102Boot,2024-06-22,11:27:24.793,32.95028,-106.91754,4593.4,32.95555,-106.9188,4591.8,3,4.2,4.2,61.0,0x03,15,10,12,4,-96,-94,2171.58,40.414,2171.583,140.312,54%,4.07,4.521,3291,275,630,206,205,akronboo,32.95581,-106.91893,4593.5,3,3.997,-100,4.2
T102Boot,2024-06-22,11:27:25.785,32.95038,-106.91744,4594.4,32.95565,-106.9187,4593.0,2,4.3,4.3,218.0,0x03,23,7,11,5,-90,-97,2176.55,41.578,2176.547,153.306,54%,4.082,4.533,3771,288,670,205,262,akronboo,32.95591,-106.91883,4594.5,1,4.007,-99,4.3
T102Boot,2024-06-22,11:27:27.794,32.95048,-106.91734,4595.4,32.95575,-106.9186,4594.2,3,4.4,4.4,294.0,0x03,18,6,9,2,-95,-96,2181.5,42.837,2181.498,167.762,54%,4.092,4.542,3571,208,680,237,226,akron_sus,32.95617,-106.91861,4621.1,1,4.065,-96,4.4
T102Boot,2024-06-22,11:27:28.814,32.95058,-106.91724,4596.4,32.95585,-106.9185,4595.3,2,4.5,4.5,28.0,0x03,18,6,8,4,-92,-92,2186.47,43.893,2186.474,168.761,56%,4.102,4.555,3132,290,603,239,244,akron_sus,32.95627,-106.91851,4622.1,2,4.075,-92,4.5
T102Boot,2024-06-22,11:27:29.834,32.95068,-106.91714,4597.4,32.95595,-106.9184,4596.4,3,4.6,4.6,25.0,0x03,20,7,7,4,-92,-97,2191.45,44.955,2191.45,169.759,58%,4.111,4.563,3169,218,611,221,224,akron_sus,32.95637,-106.91841,4623.1,2,4.085,-96,4.6
T102Boot,2024-06-22,11:27:30.794,32.95078,-106.91704,4598.4,32.95605,-106.9183,4597.5,3,4.7,4.7,189.0,0x03,15,5,8,3,-100,-93,2196.42,46.109,2196.419,185.858,60%,4.121,4.571,3096,247,602,231,274,akron_sus,32.95647,-106.91831,4624.1,2,4.095,-90,4.7
T102Boot,2024-06-22,11:27:31.786,32.95088,-106.91694,4599.4,32.95615,-106.9182,4598.7,2,4.8,4.8,206.0,0x03,19,5,7,3,-94,-96,2201.39,47.316,2201.389,158.297,61%,4.13,4.58,3336,240,678,294,232,akron_sus,32.95657,-106.91821,4625.1,1,4.105,-91,4.8
T102Boot,2024-06-22,11:27:32.805,32.95098,-106.91684,4600.4,32.95625,-106.9181,4599.9,1,4.9,4.9,357.0,0x03,23,5,8,3,-96,-97,2206.36,48.497,2206.359,172.753,64%,4.14,4.593,3041,231,696,221,227,akron_sus,32.95667,-106.91811,4626.1,3,4.115,-99,4.9
T102Boot,2024-06-22,11:27:33.795,32.95108,-106.91674,4601.4,32.95635,-106.918,4600.9,1,5.0,5.0,92.0,0x03,22,10,12,3,-96,-93,2211.35,49.529,2211.347,173.753,67%,4.146,4.602,3725,269,648,213,285,akron_sus,32.95677,-106.91801,4627.1,3,4.125,-94,5.0
T102Boot,2024-06-22,11:27:35.806,32.95118,-106.91664,4602.4,32.95645,-106.9179,4602.2,2,5.1,5.1,136.0,0x03,24,5,12,5,-90,-92,2216.32,50.752,2216.323,161.293,65%,4.16,4.612,3727,240,692,232,257,akronboo,32.95672,-106.918,4617.8,1,4.087,-96,5.1
T102Boot,2024-06-22,11:27:36.795,32.95128,-106.91654,4603.4,32.95655,-106.9178,4603.4,3,5.2,5.2,49.0,0x03,23,10,8,2,-90,-93,2221.29,52.015,2221.286,162.291,66%,4.17,4.621,3624,212,606,286,210,akronboo,32.95682,-106.9179,4618.8,3,4.097,-98,5.2
T102Boot,2024-06-22,11:27:37.785,32.95138,-106.91644,4604.4,32.95665,-106.9177,4604.5,1,5.3,5.3,107.0,0x03,24,9,8,5,-95,-91,2226.26,53.129,2226.256,191.846,69%,4.178,4.633,3925,226,632,224,246,akronboo,32.95692,-106.9178,4619.8,2,4.107,-96,5.3
T102Boot,2024-06-22,11:27:38.805,32.95148,-106.91634,4605.4,32.95675,-106.91759,4605.7,3,5.4,5.4,233.0,0x03,16,8,12,2,-98,-92,2231.23,54.238,2231.232,192.845,70%,4.188,4.642,3707,241,613,285,269,akronboo,32.95702,-106.9177,4620.8,3,4.117,-90,5.4
T102Boot,2024-06-22,11:27:39.795,32.95158,-106.91624,4606.4,32.95685,-106.91749,4606.7,1,5.5,5.5,291.0,0x03,15,7,12,3,-90,-94,2236.21,55.333,2236.214,193.843,73%,4.198,4.651,3927,231,641,239,299,akronboo,32.95712,-106.9176,4621.8,1,4.127,-96,5.5
T102Boot,2024-06-22,11:27:40.784,32.95168,-106.91614,4607.4,32.95695,-106.91739,4607.8,1,5.6,5.6,18.0,0x03,24,6,7,5,-93,-97,2241.18,56.405,2241.178,179.742,76%,4.18,4.662,3809,209,640,247,258,akronboo,32.95722,-106.9175,4622.8,3,4.137,-92,5.6
T102Boot,2024-06-22,11:27:41.804,32.95178,-106.91604,4608.4,32.95705,-106.91729,4608.8,3,5.7,5.7,25.0,0x03,15,9,12,4,-100,-90,2246.14,57.396,2246.136,180.739,77%,4.19,4.673,3762,241,639,276,275,akronboo,32.95732,-106.9174,4623.8,3,4.147,-95,5.7
T102Boot,2024-06-22,11:27:42.795,32.95188,-106.91594,4609.4,32.95715,-106.91719,4609.7,1,5.8,5.8,354.0,0x03,21,10,12,3,-96,-97,2251.12,58.277,2251.124,156.289,78%,4.206,4.682,3898,252,664,203,282,akronboo,32.95742,-106.9173,4624.8,1,4.157,-98,5.8
T102Boot,2024-06-22,11:27:43.785,32.95198,-106.91584,4610.4,32.95725,-106.91709,4610.4,2,5.9,5.9,175.0,0x03,15,5,7,5,-93,-94,2256.12,58.976,2256.118,146.6,79%,4.216,4.693,3571,282,640,296,202,akronboo,32.95752,-106.9172,4625.8,2,4.167,-96,5.9
T102Boot,2024-06-22,11:42:24.801,32.95732,-106.91645,4606.9,32.95732,-106.917,4612.1,2,6.0,6.0,291.0,0x03,20,9,8,2,-93,-96,465.55,65.114,465.632,164.457,100%,4.246,4.714,3374,294,618,256,296,akronboo,32.95761,-106.91712,4616.2,2,4.177,-94,6.0
T102Boot,2024-06-22,11:42:25.790,32.95742,-106.91635,4607.9,32.95742,-106.9169,4612.9,2,6.1,6.1,313.0,0x03,15,5,12,3,-97,-90,470.52,65.979,470.597,192.479,100%,4.256,4.725,3212,203,601,233,243,akronboo,32.95771,-106.91702,4617.2,3,4.187,-92,6.1
T102Boot,2024-06-22,11:42:27.800,32.95752,-106.91625,4608.9,32.95752,-106.9168,4613.8,1,6.2,6.2,65.0,0x03,19,8,10,2,-99,-95,475.52,66.894,475.595,135.936,100%,4.257,4.735,3686,277,680,211,202,akron_sus,32.95794,-106.9168,4616.0,2,4.23,-98,6.2
T102Boot,2024-06-22,11:42:28.791,32.95762,-106.91615,4609.9,32.95762,-106.9167,4614.7,3,6.3,6.3,339.0,0x03,23,9,8,2,-90,-97,480.55,67.789,480.622,128.908,100%,4.27,4.745,3118,243,641,222,228,akron_sus,32.95804,-106.9167,4617.0,3,4.24,-95,6.3
T102Boot,2024-06-22,11:42:29.781,32.95772,-106.91605,4610.9,32.95772,-106.9166,4615.6,2,6.4,6.4,154.0,0x03,24,7,7,2,-91,-96,485.55,68.655,485.619,137.95,100%,4.28,4.755,3143,262,631,280,208,akron_sus,32.95814,-106.9166,4618.0,2,4.25,-100,6.4
T102Boot,2024-06-22,11:42:30.800,32.95782,-106.91595,4611.9,32.95782,-106.9165,4616.5,2,6.5,6.5,252.0,0x03,20,8,12,2,-93,-92,490.55,69.537,490.615,158.097,100%,4.289,4.767,3078,294,635,207,243,akron_sus,32.95824,-106.9165,4619.0,3,4.26,-90,6.5
T102Boot,2024-06-22,11:42:31.790,32.95792,-106.91585,4612.9,32.95792,-106.9164,4617.2,1,6.6,6.6,133.0,0x03,25,10,12,3,-92,-96,495.61,70.258,495.669,139.977,100%,4.299,4.776,3923,250,699,245,215,akron_sus,32.95834,-106.9164,4620.0,3,4.27,-92,6.6
T102Boot,2024-06-22,11:42:32.780,32.95802,-106.91575,4613.9,32.95802,-106.9163,4617.9,3,6.7,6.7,13.0,0x03,21,10,7,4,-97,-96,500.61,71.005,500.663,140.977,100%,4.308,4.784,3487,289,670,240,255,akron_sus,32.95844,-106.9163,4621.0,2,4.28,-95,6.7
T102Boot,2024-06-22,11:42:33.801,32.95812,-106.91565,4614.9,32.95812,-106.9162,4618.8,3,6.8,6.8,5.0,0x03,24,9,11,4,-98,-91,505.61,71.851,505.659,133.932,100%,4.318,4.796,3494,249,615,246,252,akron_sus,32.95854,-106.9162,4622.0,3,4.29,-90,6.8
T102Boot,2024-06-22,11:42:35.031,32.95822,-106.91555,4615.9,32.95822,-106.9161,4619.7,2,6.9,6.9,349.0,0x03,17,5,11,5,-93,-93,510.65,72.752,510.688,200.577,100%,4.322,4.804,3506,224,655,212,212,akronboo,32.95851,-106.91623,4635.7,1,4.267,-96,6.9
T102Boot,2024-06-22,11:42:35.781,32.95832,-106.91545,4616.9,32.95832,-106.916,4620.6,3,7.0,7.0,314.0,0x03,24,8,11,4,-90,-91,515.65,73.608,515.684,174.515,100%,4.332,4.815,3549,245,666,248,234,akronboo,32.95861,-106.91613,4636.7,2,4.277,-99,7.0
T102Boot,2024-06-22,11:42:36.800,32.9584,-106.91535,4618.5,32.95842,-106.9159,4621.4,3,7.1,7.1,68.0,0x03,19,9,12,3,-99,-95,522.47,73.929,522.496,220.258,100%,4.35,4.825,3964,242,694,287,243,akronboo,32.95871,-106.91603,4637.7,1,4.287,-98,7.1
T102Boot,2024-06-22,11:42:37.790,32.9585,-106.91525,4619.5,32.95852,-106.9158,4622.2,1,7.2,7.2,9.0,0x03,21,9,7,2,-91,-95,527.5,74.689,527.523,221.286,100%,4.36,4.835,3590,241,626,220,210,akronboo,32.95881,-106.91593,4638.7,2,4.297,-94,7.2
T102Boot,2024-06-22,11:42:38.781,32.9586,-106.91515,4620.5,32.95862,-106.9157,4623.0,2,7.3,7.3,37.0,0x03,25,8,9,2,-98,-93,532.5,75.502,532.52,240.501,100%,4.375,4.845,3297,260,622,258,287,akronboo,32.95891,-106.91583,4639.7,3,4.307,-93,7.3
T102Boot,2024-06-22,11:42:39.801,32.9587,-106.91505,4621.5,32.95872,-106.9156,4623.8,2,7.4,7.4,150.0,0x03,23,9,7,2,-93,-90,537.5,76.315,537.517,261.939,100%,4.385,4.856,3747,276,694,235,217,akronboo,32.95901,-106.91573,4640.7,1,4.317,-91,7.4
T102Boot,2024-06-22,11:42:40.791,32.9588,-106.91495,4622.5,32.95882,-106.9155,4624.7,1,7.5,7.5,68.0,0x03,16,9,8,5,-95,-93,542.44,77.217,542.455,285.794,100%,4.395,4.865,3416,226,676,264,293,akronboo,32.95911,-106.91563,4641.7,3,4.327,-96,7.5
T102Boot,2024-06-22,11:42:41.780,32.9589,-106.91485,4623.5,32.95892,-106.9154,4625.5,2,7.6,7.6,46.0,0x03,17,7,9,4,-99,-100,547.41,78.04,547.422,286.756,100%,4.367,4.877,3406,207,673,203,293,akronboo,32.95921,-106.91553,4642.7,3,4.337,-97,7.6
T102Boot,2024-06-22,11:42:42.801,32.959,-106.91475,4624.5,32.95902,-106.9153,4626.3,1,7.7,7.7,51.0,0x03,25,7,9,4,-90,-94,552.41,78.849,552.42,313.472,100%,4.377,4.885,3783,233,652,225,266,akronboo,32.95931,-106.91543,4643.7,2,4.347,-96,7.7
T102Boot,2024-06-22,11:42:43.791,32.95909,-106.91466,4625.1,32.95912,-106.9152,4627.2,1,7.8,7.8,331.0,0x03,18,7,9,5,-91,-91,552.92,80.095,552.938,442.743,100%,4.422,4.895,3735,253,603,292,278,akronboo,32.95941,-106.91533,4644.7,1,4.357,-99,7.8
T102Boot,2024-06-22,11:42:44.779,32.95919,-106.91456,4626.1,32.95922,-106.9151,4628.2,1,7.9,7.9,158.0,0x03,25,5,8,4,-96,-92,557.83,81.105,557.847,309.008,100%,4.432,4.907,3228,257,692,280,257,akronboo,32.95951,-106.91523,4645.7,2,4.367,-99,7.9
T102Boot,2024-06-22,11:42:45.799,32.95927,-106.91445,4627.3,32.95932,-106.915,4629.1,2,8.0,8.0,327.0,0x03,18,6,7,4,-100,-92,566.65,81.869,566.662,185.15,100%,4.437,4.916,3941,273,699,211,285,akronboo,32.95961,-106.91513,4646.7,3,4.377,-100,8.0
T102Boot,2024-06-22,11:42:47.001,32.95935,-106.91433,4628.5,32.95942,-106.9149,4630.0,3,8.1,8.1,205.0,0x03,25,8,11,4,-95,-90,580.56,82.529,580.571,277.986,100%,4.447,4.924,3945,209,614,203,235,akron_sus,32.95984,-106.9149,4638.2,1,4.424,-92,8.1
T102Boot,2024-06-22,11:42:47.781,32.95943,-106.91419,4629.7,32.95952,-106.9148,4630.8,3,8.2,8.2,310.0,0x03,23,5,12,5,-95,-98,599.14,83.171,599.147,201.341,94%,4.461,4.935,3442,255,667,251,288,akron_sus,32.95994,-106.9148,4639.2,3,4.434,-99,8.2
T102Boot,2024-06-22,11:42:48.800,32.95953,-106.91404,4631.1,32.95962,-106.9147,4631.8,2,8.3,8.3,132.0,0x03,15,5,10,2,-97,-99,617.62,83.635,617.626,196.944,94%,4.471,4.945,3540,297,681,207,295,akron_sus,32.96004,-106.9147,4640.2,1,4.444,-98,8.3
